name,*log_k2.y1,conc_mM.par1,status,class
TMSPy,0.910368452,0.49,1,amide
TMSPy,0.698650814,1,1,amide
TMSPy,0.78984202,1.51,1,amide
TMP,-2.493572333,0.49,1,P=O
TMP,-2.183928915,1.51,1,P=O
3MESL,-0.737039705,0.49,1,S=O
3MESL,-1.654874316,1.51,1,S=O
BTMSM,-0.879368468,1,1,ester
BTMSM,-1.234903848,1.51,1,ester
GLN,-1.761090901,0.49,1,nitrile
GLN,-1.513533828,1,1,nitrile
DEF,0.288386974,0.49,1,amide
DEF,0.125638221,1,1,amide
DEF,0.015765306,1.51,1,amide
DEOM,-0.817541827,0.49,1,ether
DEOM,-0.949277122,1,1,ether
DEOM,-1.151257982,1.51,1,ether
DIPC,0.184807248,0.49,1,carbonate
DIPC,0.185372379,1,1,carbonate
DIPC,0.194742291,1.51,1,carbonate
G2E,-0.581900461,0.49,1,ether
G2E,-0.820504958,1,1,ether
G2E,-0.949880105,1.51,1,ether
MiPC,-1.815590642,0.49,1,carbonate
MiPC,-1.287222355,1,1,carbonate
MiPC,-1.789293671,1.51,1,carbonate
iBuF,-0.974689144,0.49,1,ester
iBuF,-1.961860218,1,1,ester
iBuF,-1.343487315,1.51,1,ester
DMDO,-1.064430229,0.49,1,ester
DMDO,-1.378705565,1,1,ester
DMDO,-1.108723518,1.51,1,ester
EsBS,-0.834497184,0.49,1,S=O
EsBS,-0.923488665,1,1,S=O
BuS,0.049040258,1,1,S=O
BuS,0.145546167,0.49,1,S=O
BuS,-0.159225685,1.51,1,S=O
DFAcK,-1.205172088,0.49,1,ketone
DFAcK,-1.51672874,1,1,ketone
DFAcK,-2.526173241,1.51,1,ketone
EPA,-1.618102737,0.49,1,ester
EPA,-1.627796703,1,1,ester
EPA,-1.99779251,1.51,1,ester
ETFE,-1.968434343,0.49,1,ether
HFTFBL,-0.416861817,1,1,fluoro-Ol
HFTFBL,-0.029081775,1.51,1,fluoro-Ol
MiPK,-0.417467966,0.49,1,ketone
MiPK,-0.422836522,1,1,ketone
iPrF,-0.861092905,0.49,1,ester
iPrF,-1.151731647,1,1,ester
iPrF,-1.819807337,1.51,1,ester
iBuF,-1.017722299,0.49,1,ester
iBuF,-1.186170173,1,1,ester
iBuF,-1.866013089,1.51,1,ester
iBuF,-0.992401117,0.49,1,ester
iBuF,-1.569846427,1,1,ester
iBuF,-2.157597754,1.51,1,ester
2MeGN,-0.934530096,0.49,1,nitrile
2MeGN,-1.121506932,1,1,nitrile
2MeGN,-2.037038027,1.51,1,nitrile
CPME,-1.42786636,0.49,1,ether
CPME,-2.025288089,1,1,ether
CPME,-2.274718741,1.51,1,ether
DOX,-1.617080212,0.49,1,ether
DOX,-1.877723554,1,1,ether
DOX,-2.504465768,1.51,1,ether
MCA,-0.68245829,0.49,1,ester
MCA,-1.669525358,1,1,ester
MCA,-1.819747796,1.51,1,ester
MN,-1.421297378,1,1,nitrile
MN,-1.838869523,1.51,1,nitrile
MTBE,-1.48664136,0.49,1,ether
MTBE,-1.647000603,1,1,ether
MTBE,-1.754465899,1.51,1,ether
NVN,-0.020096246,1,1,nitrile
NVN,-0.795368135,1.51,1,nitrile
PTBL,-2.273840583,0.49,1,Ol
PTBL,-1.878398565,1.51,1,Ol
TFBN,0.198644456,0.49,1,nitrile
TFBN,0.038006005,1,1,nitrile
TFBN,-0.077077407,1.51,1,nitrile
TFPC,0.264523248,0.49,1,carbonate
TFPC,-1.219252392,1,1,carbonate
TGBNE,-0.775359205,0.49,1,ether
TGBNE,-1.039249987,1,1,ether
TGBNE,-1.461603314,1.51,1,ether
BTFA,-0.590364527,0.51,1,ester
BTFA,-1.141677748,1.49,1,ester
BTFA,-0.861203117,1,1,ester
DMIE,-1.327744113,0.51,1,ether
DMIE,-1.621334875,1,1,ether
DMIE,-2.025705712,1.49,1,ether
